AirportId,IATA,ICAO,Latitude,Longitude
253,ABJ,DIAP,5.261386,-3.926294
254,BYK,DIBK,7.7388,-5.073667
255,DJO,DIDL,6.792808,-6.473189
256,HGO,DIKO,9.387183,-5.556664
257,MJC,DIMN,7.272069,-7.587364
258,SPY,DISP,4.746717,-6.660817
259,ASK,DIYO,6.903167,-5.365581
260,ABV,DNAA,9.006792,7.263172
261,AKR,DNAK,7.246739,5.301008
262,BNI,DNBE,6.316981,5.599503
263,CBQ,DNCA,4.976019,8.347197
264,ENU,DNEN,6.474272,7.561961
265,QUS,DNGU,12.171667,6.696111
266,IBA,DNIB,7.362458,3.978333
267,ILR,DNIL,8.440211,4.493919
268,JOS,DNJO,9.639828,8.86905
269,KAD,DNKA,10.696025,7.320114
270,KAN,DNKN,12.047589,8.524622
271,MIU,DNMA,11.855347,13.08095
272,MDI,DNMK,7.703883,8.613939
273,LOS,DNMM,6.577369,3.321156
274,MXJ,DNMN,9.652172,6.462256
275,PHC,DNPO,5.015494,6.949594
276,SKO,DNSO,12.916322,5.207189
277,YOL,DNYO,9.257553,12.430422
278,ZAR,DNZA,11.130192,7.685806
279,MFQ,DRRM,13.502531,7.126753
280,NIM,DRRN,13.481547,2.183614
281,THZ,DRRT,14.875658,5.265358
282,AJY,DRZA,16.965997,8.000114
283,,DRZD,18.968703,12.86865
284,,DRZF,13.372894,12.626686
285,ZND,DRZR,13.778997,8.983761
286,MIR,DTMB,35.758056,10.754722
287,TUN,DTTA,36.851033,10.227217
288,,DTTB,37.245447,9.791453
289,,DTTD,32.306156,10.382108
290,GAF,DTTF,34.422022,8.822503
291,GAE,DTTG,33.876919,10.103333
292,,DTTI,36.721339,9.943147
293,DJE,DTTJ,33.875031,10.775461
294,EBM,DTTR,31.704281,9.254619
295,SFA,DTTX,34.717953,10.690972
296,TOE,DTTZ,33.939722,8.110556
297,LRL,DXNG,9.767333,1.09125
298,LFW,DXXX,6.165611,1.254511
299,ANR,EBAW,51.189444,4.460278
300,,EBBE,50.75861,4.768333
301,,EBBL,51.168333,5.47
302,BRU,EBBR,50.901389,4.484444
303,,EBBX,49.891667,5.223889
304,CRL,EBCI,50.459197,4.453817
305,,EBCV,50.575833,3.831
306,,EBFN,51.090278,2.652778
307,,EBFS,50.243333,4.645833
308,QKT,EBKT,50.817222,3.204722
309,LGG,EBLG,50.637417,5.443222
310,OST,EBOS,51.198889,2.862222
311,,EBSL,50.9475,5.590556
312,,EBST,50.791944,5.201667
313,,EBSU,50.035833,5.404167
314,,EBUL,51.144133,3.474361
315,,EBWE,51.394783,4.960194
316,,EBZR,51.264722,4.753333
317,BBJ,EDAB,51.193531,14.519747
318,AOC,EDAC,50.981817,12.506361
319,,EDAD,51.831828,12.184033
320,,EDAE,52.197333,14.585667
322,,EDAK,51.308111,13.554973
323,,EDAM,51.363,11.940833
324,,EDAQ,51.552,12.052667
325,,EDAU,51.2935,13.356
326,,EDAX,53.306417,12.753139
327,,EDAY,52.579978,13.915683
328,,EDAZ,52.203258,13.158408
329,BBH,EDBH,54.33754,12.699705
330,,EDBJ,50.915161,11.714519
331,,EDBK,52.918833,12.425333
332,,EDBM,52.073658,11.626467
333,,EDBR,51.363167,14.95
334,,EDCA,53.8327,13.669131
335,,EDCD,51.889475,14.531986
336,,EDCM,51.29625,14.129
337,SXF,EDDB,52.380001,13.5225
338,DRS,EDDC,51.132767,13.767161
339,ERF,EDDE,50.979811,10.958106
340,FRA,EDDF,50.026421,8.543125
341,FMO,EDDG,52.134642,7.684831
342,HAM,EDDH,53.630389,9.988228
343,THF,EDDI,52.473025,13.403944
344,CGN,EDDK,50.865917,7.142744
345,DUS,EDDL,51.289453,6.766775
346,MUC,EDDM,48.353783,11.786086
347,NUE,EDDN,49.4987,11.066897
348,LEJ,EDDP,51.432447,12.241633
349,SCN,EDDR,49.214553,7.109508
350,STR,EDDS,48.689878,9.221964
351,TXL,EDDT,52.559686,13.287711
352,HAJ,EDDV,52.461056,9.685078
353,BRE,EDDW,53.0475,8.786667
354,,EDFE,49.960833,8.6415
355,HHN,EDFH,49.948672,7.263892
356,MHG,EDFM,49.472706,8.514264
357,,EDFQ,51.034878,8.680839
358,,EDFV,49.606511,8.3684
359,,EDFZ,49.968931,8.148336
360,,EDGE,50.992797,10.472711
361,,EDGS,50.707658,8.082969
362,XFW,EDHI,53.535886,9.837025
363,KEL,EDHK,54.3795,10.145167
364,LBC,EDHL,53.805367,10.719222
365,,EDKV,50.405888,6.528083
366,,EDKZ,51.099445,7.601944
367,ZCA,EDLA,51.483333,7.899333
368,ESS,EDLE,51.402333,6.937333
369,,EDLI,51.964833,8.544833
370,MGL,EDLN,51.230356,6.504494
371,PAD,EDLP,51.614089,8.616317
372,,EDLS,51.995844,6.840667
373,DTM,EDLW,51.518314,7.612242
374,AGB,EDMA,48.425158,10.931764
375,,EDMB,48.111,9.762833
376,,EDME,48.396167,12.723667
377,,EDMN,48.108833,10.524333
378,OBF,EDMO,48.081364,11.283067
379,,EDMS,48.90095,12.518186
380,,EDMV,48.635167,13.195667
381,,EDNL,47.859117,10.014572
382,FDH,EDNY,47.671317,9.511486
383,SZW,EDOP,53.426997,11.783436
384,ZSN,EDOV,52.627778,11.818333
385,,EDPA,48.777833,10.264667
386,BYU,EDQD,49.984428,11.638569
387,,EDQE,49.793833,11.133167
388,HOQ,EDQM,50.288836,11.854919
389,,EDQT,50.018,10.5295
390,ZNV,EDRK,50.3255,7.528667
391,ZQF,EDRT,49.8635,6.788167
392,ZQC,EDRY,49.302776,8.451195
393,,EDRZ,49.209525,7.400647
394,ZQL,EDTD,47.973331,8.522223
395,,EDTF,48.022653,7.832583
396,,EDTM,48.053833,9.372833
397,,EDTY,49.118317,9.783956
398,,EDUS,51.6075,13.738
399,BWE,EDVE,52.319167,10.556111
400,KSF,EDVK,51.408394,9.377631
401,,EDVM,52.179833,9.945667
402,BRV,EDWB,53.507081,8.572878
403,EME,EDWE,53.391186,7.227408
404,,EDWF,53.271592,7.442344
405,WVN,EDWI,53.504833,8.053333
406,BMK,EDWR,53.5955,6.709167
407,NRD,EDWY,53.706822,7.230247
408,FLF,EDXF,54.771772,9.378214
409,,EDXR,54.220928,9.600803
410,GWT,EDXW,54.91325,8.340472
411,,EEEI,59.260286,24.208467
412,KDL,EEKA,58.990756,22.830733
413,URE,EEKE,58.229883,22.509494
414,EPU,EEPU,58.419044,24.472819
415,TLL,EETN,59.413317,24.832844
416,TAY,EETU,58.307461,26.690428
417,ENF,EFET,68.362586,23.424322
418,,EFEU,61.116112,22.201389
419,KEV,EFHA,61.85605,24.7866
420,HEM,EFHF,60.254558,25.042828
421,HEL,EFHK,60.317222,24.963333
422,,EFHM,61.689656,23.073744
423,,EFHN,59.848864,23.083583
424,HYV,EFHV,60.654444,24.881111
425,,EFIK,60.462502,23.6525
426,,EFIM,61.249172,28.903711
427,,EFIT,62.166111,30.073611
428,IVL,EFIV,68.607269,27.405328
429,JOE,EFJO,62.662906,29.60755
430,JYV,EFJY,62.399453,25.678253
431,KAU,EFKA,63.127078,23.051442
432,KEM,EFKE,65.781889,24.5991
433,KAJ,EFKI,64.285472,27.692414
434,,EFKJ,62.462502,22.393055
435,KOK,EFKK,63.721172,23.143131
436,,EFKM,66.712883,27.156786
437,KAO,EFKS,65.987575,29.239381
438,KTT,EFKT,67.701022,24.84685
439,KUO,EFKU,63.00715,27.797756
440,,EFLA,61.144158,25.693508
441,LPP,EFLP,61.044553,28.144397
442,MHQ,EFMA,60.122203,19.898156
443,,EFME,62.946667,23.518889
444,MIK,EFMI,61.6866,27.201794
445,,EFNU,60.333889,24.296389
446,OUL,EFOU,64.930061,25.354564
447,,EFPI,61.245558,22.193356
448,POR,EFPO,61.461686,21.799983
449,,EFPU,65.402222,26.946944
450,,EFPY,63.731917,25.926306
451,,EFRH,64.688056,24.695833
452,,EFRN,62.065481,28.356494
453,RVN,EFRO,66.564822,25.830411
454,,EFRY,60.744722,24.107778
455,SVL,EFSA,61.943064,28.945136
456,,EFSE,61.062389,26.798861
457,SOT,EFSO,67.395033,26.619133
458,TMP,EFTP,61.414147,23.604392
459,,EFTS,61.77335,24.027006
460,TKU,EFTU,60.514142,22.262808
461,QVY,EFUT,60.896394,26.938353
462,VAA,EFVA,63.05065,21.762175
463,VRK,EFVR,62.171111,27.868611
464,,EFYL,64.060547,24.715953
465,BFS,EGAA,54.6575,-6.215833
466,ENK,EGAB,54.398889,-7.651667
467,BHD,EGAC,54.618056,-5.8725
468,LDY,EGAE,55.042778,-7.161111
469,BHX,EGBB,52.453856,-1.748028
470,CVT,EGBE,52.369722,-1.479722
471,,EGBG,52.607778,-1.031944
472,GLO,EGBJ,51.894167,-2.167222
474,,EGBO,52.5175,-2.259444
475,,EGBP,51.668056,-2.056944
476,,EGBT,52.040833,-1.095556
477,,EGBW,52.192222,-1.614444
478,MAN,EGCC,53.353744,-2.27495
479,,EGCD,53.338056,-2.148889
480,,EGDC,51.087167,-4.150339
481,NQY,EGDG,50.440558,-4.995408
482,LYE,EGDL,51.505144,-1.993428
483,,EGDM,51.152189,-1.747414
484,,EGDR,50.086092,-5.255711
485,,EGDX,51.404811,-3.43575
486,YEO,EGDY,51.009358,-2.638819
487,,EGFE,51.833056,-4.961111
488,CWL,EGFF,51.396667,-3.343333
489,SWS,EGFH,51.605333,-4.067833
490,BRS,EGGD,51.382669,-2.719089
491,LPL,EGGP,53.333611,-2.849722
492,LTN,EGGW,51.874722,-0.368333
493,PLH,EGHD,50.422778,-4.105833
494,BOH,EGHH,50.78,-1.8425
495,SOU,EGHI,50.950261,-1.356803
496,QLA,EGHL,51.187167,-1.0335
497,ACI,EGJA,49.706111,-2.214722
498,GCI,EGJB,49.434956,-2.601969
499,JER,EGJJ,49.207947,-2.195508
500,ESH,EGKA,50.835556,-0.297222
501,BQH,EGKB,51.330833,0.0325
502,LGW,EGKK,51.148056,-0.190278
503,LCY,EGLC,51.505278,0.055278
504,FAB,EGLF,51.275833,-0.776333
505,,EGLJ,51.676111,-1.080833
506,BBS,EGLK,51.323889,-0.8475
507,LHR,EGLL,51.4775,-0.461389
508,SEN,EGMC,51.571389,0.695556
509,LYX,EGMD,50.956111,0.939167
510,MSE,EGMH,51.342222,1.346111
511,,EGNB,53.719667,-0.566333
512,CAX,EGNC,54.9375,-2.809167
513,,EGNE,53.280556,-0.951389
514,BLK,EGNH,53.771667,-3.028611
515,HUY,EGNJ,53.574444,-0.350833
516,BWF,EGNL,54.131167,-3.263667
517,LBA,EGNM,53.865897,-1.660569
518,,EGNO,53.745097,-2.883061
519,CEG,EGNR,53.178056,-2.977778
520,IOM,EGNS,54.083333,-4.623889
521,NCL,EGNT,55.0375,-1.691667
522,MME,EGNV,54.509189,-1.429406
523,EMA,EGNX,52.831111,-1.328056
524,,EGOD,52.811744,-4.123575
525,,EGOE,52.871164,-2.533561
526,,EGOS,52.798169,-2.668042
528,,EGOW,53.581575,-3.055522
529,KOI,EGPA,58.957778,-2.905
530,LSI,EGPB,59.878889,-1.295556
531,WIC,EGPC,58.458889,-3.093056
532,ABZ,EGPD,57.201944,-2.197778
533,INV,EGPE,57.5425,-4.0475
534,GLA,EGPF,55.871944,-4.433056
535,EDI,EGPH,55.95,-3.3725
536,ILY,EGPI,55.681944,-6.256667
537,PIK,EGPK,55.509444,-4.586667
538,BEB,EGPL,57.481111,-7.362778
539,SDZ,EGPM,60.432778,-1.296111
540,DND,EGPN,56.452499,-3.025833
541,SYY,EGPO,58.215556,-6.331111
542,TRE,EGPU,56.499167,-6.869167
543,ADX,EGQL,56.372889,-2.868444
544,LMO,EGQS,57.705214,-3.339169
545,CBG,EGSC,52.205,0.175
546,,EGSF,52.468056,-0.251111
547,NWI,EGSH,52.675833,1.282778
548,STN,EGSS,51.885,0.235
549,,EGSX,51.721667,0.154167
550,,EGSY,53.394256,-1.388486
551,,EGTC,52.072222,-0.616667
552,EXT,EGTE,50.734444,-3.413889
553,FZO,EGTG,51.519444,-2.590833
554,OXF,EGTK,51.836944,-1.32
555,,EGUB,51.616389,-1.095833
556,,EGUL,52.409333,0.561
557,MHZ,EGUN,52.361933,0.486406
558,,EGUW,52.127283,0.956264
559,,EGUY,52.357167,-0.107833
560,FFD,EGVA,51.682167,-1.790028
561,BZZ,EGVN,51.749964,-1.583617
562,ODH,EGVO,51.234139,-0.942825
563,,EGWC,52.640028,-2.305578
